book,chapter,verse,tafsir
"أخبار أيام ثاني",1,1,"ملخص لسفر أخبار الأيام الثانى
ص1-ص9:-
نجد هنا مملكة سليمان \'a1 المملكة المشرقة التى يسودها السلام رمز لمملكة المسيح ملك السلام ورأس المملكة سليمان المملوءة حكمة رمز للمسيح أقنوم الحكمة وسليمان أغنى الملوك والمسيح غنى ويفنى كنيسته وسليمان هو مؤسس وبانى الهيكل رمز للمسيح الذى أسس هيكل جسده أى الكنيسة. ومرة أخرى لا نجد أى إشارة لخطايا سليمان فهو رمز لمملكة المسيح المشرقة المنيرة ونجد صلاة سليمان محورها أن الله يستجيب لكل من ينظر للهيكل وهذا يرمز لأن كل صلاة لنا تستجاب بإسم المسيح لذلك ننهى صلاتنا الربانية """"أبانا الذى فى السموات.... بالمسيح يسوع المسيح """".

ص10-35:-
نرى هنا الصورة الواقعية للمملكة بما فيها من قوة وبما فيها من سقطات وضعفات فحين تطلب المملكة الله تصبح قوية وحين تترك الله تضعف وتسقط تحت سيطرة أعدائها فيسودون عليها لتتأدب.

ص36:-
نجد هنا المملكة وقد إنحرفت جداً للوثنية فكانت ضربة التأديب الكبرى الا وهى للسبى كعبيد لبابل وهناك تأدبوا وتركوا الوثنية تماماً وهذا يشبه تماماً ما فعله بولس الرسول مع خاطىء كورنثوس  1 كو 5:5. """"أن يسلم مثل هذا للشيطان لهلاك الجسد لكى تخلص الروح فى يوم الرب يسوع"""" أى سلمه بولس لأمراض وضربات أليمة بواسطة إبليس ( تجارب فى الجسد ) وهذا يشبه الذهاب للسبى فحينما يتألم الجسد تكون هناك فرصة للروح لتتنبه وتقدم توبة فتخلص وحينما تاب خاطىء كورنثوس قبله بولس الرسول ورده من سبى إبليس  2 كو 2:5-8 وهذا ما حدث مع الشعب فالتأديب أتى بثماره وتركوا عبادة الأوثان تماماً فسمح لهم الله بالعودة إلى أورشليم ( الآيات 23\'a122) وهكذا كل خاطىء فى مملكة المسيح يسمح له المسيح ببعض التأديب حتى يتألم الجسد فيتوب الإنسان وحينما يتوب يقبله المسيح ثانية""""إرجعوا إلى أرجع إليكم  زك 1:3. وينتهى سفر أخبار الأيام الثانى بالعودة من السبى بعد أن تأدبوا"
"أخبار أيام ثاني",1,2,"الإصحاح الأول
يظهر هنا بوضوح أن التابوت كان مقره أورشليم داخل خيمة مخصصة له. واما خيمة الإجتماع كانت فى جبعون وبها مذبح النحاس (آيات 6\'a14) ولتفسير الإصحاح إرجع إلى  1 مل 3:4-15 \'ba  1 مل 1:26-29. ونجد زيادة هنا أن سليمان ذهب إلى جبعون ومعهُ جماعة الرؤساء."
"أخبار أيام ثاني",2,1,"الإصحاح الثانى
الآيات 4-6:- فهانذا ابني بيتا لاسم الرب الهي لاقدسه له لاوقد امامه بخورا عطرا ولخبز الوجوه الدائم وللمحرقات صباحا ومساء وللسبوت والاهلة ومواسم الرب الهنا هذا على اسرائيل الى الابد.و البيت الذي انا بانيه عظيم لان الهنا اعظم من جميع الالهة.و من يستطيع ان يبني له بيتا لان السماوات وسماء السماوات لا تسعه ومن انا حتى ابني له بيتا الا للايقاد امامه.
هذه الآيات ليست فى سفر الملوك ولكن بحسب عادة كاتب سفر الأيام أنه يهتم بكل ما يختص بخدمة الهيكل كالتقدمات والأعياد والكهنة. سماء السموات لا تسعه = هذا حتى لا يظن حيرام أن الله إله إسرائيل مثل الهته الوثنية التى يحصرونها فى هياكلهم

آية 7:- فالان ارسل لي رجلا حكيما في صناعة الذهب والفضة والنحاس والحديد والارجوان والقرمز والاسمانجوني ماهرا في النقش مع الحكماء الذين عندي في يهوذا وفي اورشليم الذين اعدهم داود ابي.
رجلاً حكيماً = أثبتت الأثار أن الإسرائيليين لم يكونوا خبراء فى الفنون.

آية 11:- فقال حورام ملك صور بكتابة ارسلها الى سليمان لان الرب قد احب شعبه جعلك عليهم ملكا.
الرب قد أحب شعبه = هذه الكلمات تدل على إنتشار معرفة الرب بين الأمم.

آية 17:- وعد سليمان جميع الرجال الاجنبيين الذين في ارض اسرائيل بعد العد الذين عدهم اياه داود ابوه فوجدوا مئة وثلاثة وخمسين الفا وست مئة.
الأجنبيين = الكنعانيين الذين سكنوا الأرض قديماً ولم يطردهم بنو إسرائيل فسخرهم داود وسليمان."
"أخبار أيام ثاني",3,1,"الإصحاح الثالث
آية 1:- وشرع سليمان في بناء بيت الرب في اورشليم في جبل المريا حيث تراءى لداود ابيه حيث هيا داود مكانا في بيدر ارنان اليبوسي.
جبل المريا = المكان الذى تراءى فيه الرب لداود ( 1 اى 21:18) فقال داود هذا هو بيت الرب ( 1 أى 22:1) وكان فى هذا المكان بيدر أرنان. وهنا أيضاً قدم إبراهيم إسحق إبنه.

آية 4:- والرواق الذي قدام الطول حسب عرض البيت عشرون ذراعا وارتفاعه مئة وعشرون وغشاه من داخل بذهب خالص.
إرتفاعه مئة وعشرون = الرواق كان أمام القدس ولم يذكر فى سفر الملوك سوى إرتفاع القدس أنه 30 ذراع فيبدو أن الرواق كان مبنى مستقل مرتفع أمام القدس. وفى 6:- حجارة كريمة وذهب = رمز للسماء ( رؤ 21:18-21) فروايم = مكان ما فى الشرق غير معروف. وباقى الإصحاح تفسيره  فى 1 مل 6:23-28 \'ba  1 مل 7:15-22."
"أخبار أيام ثاني",4,1,"الإصحاح الرابع
من المؤكد أن الهيكل كان لهُ أبواب فهناك بوابين للأبواب ولكن لا نجد ذكر للأبواب هنا فهو رمز لأورشليم السماوية لا تغلق ولا يكون فيها مساء فالله حاميها ونورها. ومذبح النحاس كان 20×20 ذراع وإرتفاعه 10 أذرع لذلك كان لابد من وجود درج للصعود إلى المذبح ولكن لأن الله منع الدرج  خر 20:26.

وفى آية 17:- في غور الاردن سبكها الملك في ارض الخزف بين سكوت وصردة.
صردة ولها إسم آخر صرتان  1 مل 7:46."
"أخبار أيام ثاني",5,1,"الإصحاح الخامس
الآيات 11-14:- - وكان لما خرج الكهنة من القدس لان جميع الكهنة الموجودين تقدسوا لم تلاحظ الفرق.
 واللاويون المغنون اجمعون اساف وهيمان ويدوثون وبنوهم واخوتهم لابسين كتانا بالصنوج والرباب والعيدان واقفين شرقي المذبح ومعهم من الكهنة مئة وعشرون ينفخون في الابواق.و كان لما صوت المبوقون والمغنون كواحد صوتا واحدا لتسبيح الرب وحمده ورفعوا صوتا بالابواق والصنوج والات الغناء والتسبيح للرب لانه صالح لان الى الابد رحمته ان البيت بيت الرب امتلا سحابا.و لم يستطع الكهنة ان يقفوا للخدمة بسبب السحاب لان مجد الرب ملا بيت الله
جميع الكهنة =غالباً فى مناسبة كهذه يحضر كهنة الفرقة المحدد لها الخدمة مع كهنة أخرين فهى مناسبة عامة. ولم يذكر فى هذا الإصحاح بركة سليمان للشعب ربما لأن الكاتب لم يقبل فكرة أن الملك يبارك الشعب بدلاً من الكاهن."
"أخبار أيام ثاني",6,1,"الإصحاح السادس
راجع  1 مل 8:12-53. وفكرة أن من ينظر للهيكل يستجاب لهُ صلاته هى رمز لما يحدث الآن فالهيكل رمز للمسيح وكل صلاة مستجابة لنا إذا كانت بإسم المسيح """" كل ما تطلبونه من الآب بإسمى يستجاب لكم """" كهنتك يلبسون الخلاص = صورة الكهنوت هى صورة المسيح ككاهن للعهد الجديد."
"أخبار أيام ثاني",7,1,"الإصحاح السابع
كما حلت نار بعد تقديم الذبائح التى تقدسوا بها\'a1 هكذا حل الروح القدس على هيئة ألسنة نار بعد أن تقدست الأرض بذبيحة المسيح
فى آية (1)
نزول نار من السماء علامة على أن سليمان هو الملك المقبول وأن هذه العبادة فى هذا المكان مقبولين لدى الله والشعب مقبول لدى الله وأن البيت سيكون بيت لله."
"أخبار أيام ثاني",8,1,"الإصحاح الثامن
هنا نرى مملكة محصنة فى وجه الأعداء هكذا هى مملكة الله والمملكة لها سيادة على من حولها 
فى (3) حماة صوبة = هى إما حماة المعروفة الآن أو حماة أخرى فى مملكة صوبة. وفى (11).......... لا تسكن أمرأة لى فى بيت داود= فهن وثنيات أو وصيفاتهن وثنيات. والآية (16) لها ترجمة أخرى """" فتهيأ كل عمل سليمان من يوم تأسيس بيت الرب إلى نهايته فكمل عمل سليمان """"
أو """" هكذا إكتمل تنفيذ كل ما خططه سليمان من يوم إرساء الأساس حتى الإنتهاء من تشييد الهيكل""""
عصيون جابر = على خليج العقبة بجانب إيلة. أوفير = فى اليمن"
"أخبار أيام ثاني",9,1,"الإصحاح التاسع
كل الغنى والحكمة والقوة عند سليمان فالله كلى الغنى والحكمة والقوة معه حكمة سليمان رمز لحكمة المسيح أقنوم الحكمة وهدايا لملكة سبأ= المجوس لا تذكر خطايا لسليمان إما لتوبته أو هذه فلسفة كاتب السفر
آية 12:- واعطى الملك سليمان ملكة سبا كل مشتهاها الذي طلبت فضلا عما اتت به الى الملك فانصرفت وذهبت الى ارضها هي وعبيدها.

سليمان أعطى لملكة سبأ هدايا قيمة بالإضافة لهدايا من منتجات الأرض اليهودية والأهم من ذلك أنه أجابها عن كل أسئلتها بحكمة إلهية وهذا ما أتت بسببه.
آية 9:- - واهدت للملك مئة وعشرين وزنة ذهب واطيابا كثيرة جدا وحجارة كريمة ولم يكن مثل ذلك الطيب الذي اهدته ملكة سبا للملك سليمان.

الهدايا التى أتت بها ترمز لهدايا المجوس الذين أتوا ليروا ذلك الملك العجيب 
آية 23:- - وكان جميع ملوك الارض يلتمسون وجه سليمان ليسمعوا حكمته التي جعلها الله في قلبه.

نجد الكل يلتمسون أن يسمعوا حكمة سليمان فهو يرمز للمسيح أقنوم الحكمة.
وبهذا الإصحاح يختم سفر الأيام الحديث عن سليمان دون أن يذكر خطاياه وسقطاته وعدم ذكرها هنا ربما يشير لتوبته ولقبول الله لتوبته وغفرانه له. وعموماً فهذه طريقة كاتب الأيام هو يركز على الجوانب المشرقة فى داود وسليمان لأنه يرى فيها رمزاً لمملكة المسيح. ولنأخذ لأنفسنا درساً أن مملكة المسيح يجب أن تكون بلا خطية\'a1 مشرقة مجيدة وتفسير باقى اٌصحاح تجده  فى 1 مل 10
لم يدون السفر بقية أخبار الملك التى دونت فى كتب أخرى فالسفر لا يهتم سوى بتاريخ الخلاص"
